id,player_id,games,pos,points,rebounds,assists,steals,blocks,turnovers,fg_percentage,three_point_percentage,free_throw_percentage,updated_at,minutes,case_name
146,168,975,1,24.7,4.7,6.4,1.5,0.3,3.1,0.472,0.425,0.91,"2024-12-15 20:56:40",NULL,"Stephen Curry"
147,169,1121,1,14.3,3,5.7,1.4,0.2,1.9,0.438,0.387,0.824,"2024-12-15 20:56:40",NULL,"Mike Conley"
148,170,160,1,20.5,5.4,6.9,1,0.6,3.7,0.435,0.337,0.846,"2024-12-15 20:56:40",NULL,"Cade Cunningham"
149,171,13,2,1.4,0.5,0.3,0.2,0,0,0.222,0.24,-1,"2024-12-15 20:56:40",NULL,"Adam Flagler"
150,172,80,1,13.4,3.1,5.4,0.8,0.2,3.3,0.39,0.318,0.811,"2024-12-15 20:56:40",NULL,"Scoot Henderson"
151,173,157,4,21.6,7,4.6,0.9,0.6,2.9,0.444,0.322,0.727,"2024-12-15 20:56:40",NULL,"Paolo Banchero"
152,174,495,1,21.5,3.9,6.1,1.4,0.4,2.8,0.472,0.333,0.74,"2024-12-15 20:56:40",NULL,"De'Aaron Fox"
154,176,596,5,23,11,3.2,0.8,1.3,2.7,0.524,0.4,0.839,"2024-12-15 20:56:40",NULL,"Karl-Anthony Towns"
155,177,818,1,13.2,2.8,4.9,0.9,0.1,2.3,0.434,0.378,0.871,"2024-12-15 20:56:40",NULL,"Mo Williams"
156,178,1243,3,24.2,8.5,4.2,2,1.7,3.4,0.506,0.298,0.777,"2024-12-15 21:08:13",NULL,"Julius Erving"
157,179,447,1,17.3,3.2,4.9,0.7,0.1,1.7,0.489,0.394,0.824,"2024-12-15 21:08:13",NULL,"Jalen Brunson"
158,180,946,1,13.3,3,4.7,0.9,0.2,2.2,0.459,0.362,0.766,"2024-12-15 21:08:13",NULL,"Goran Dragić"
159,181,893,5,19.2,8.5,2,0.8,1,2,0.494,0.335,0.799,"2024-12-15 21:08:13",NULL,"Chris Bosh"
160,182,889,1,7.7,2.6,7.6,1.5,0,1.6,0.458,0.278,0.827,"2024-12-15 21:08:13",NULL,"Muggsy Bogues"
161,183,1083,4,18.5,7.5,1.6,1,0.4,1.6,0.451,0.346,0.724,"2024-12-15 21:08:13",NULL,"Antawn Jamison"
162,184,97,4,4.1,2.4,0.8,0.3,0.2,0.6,0.464,0.357,0.648,"2024-12-15 21:08:13",NULL,"Guerschon Yabusele"
163,185,343,2,6.7,2,1.5,0.4,0.2,1,0.389,0.354,0.812,"2024-12-15 21:08:13",NULL,"Nik Stauskas"
164,186,576,2,12.7,2.6,1.5,0.8,0.3,1.2,0.47,0.399,0.828,"2024-12-15 21:08:13",NULL,"Norman Powell"
165,187,987,5,7.4,7.1,0.8,0.3,1.4,1.5,0.498,0.125,0.626,"2024-12-15 21:08:13",NULL,"Erick Dampier"
166,188,385,3,14.3,3.9,1.2,0.9,0.5,0.9,0.505,0.351,0.78,"2024-12-15 21:08:13",NULL,"T.J. Warren"
167,189,228,4,10.1,3.8,2.4,1.5,0.7,1.3,0.482,0.369,0.819,"2024-12-15 21:08:13",NULL,"Herbert Jones"
168,192,577,4,17.8,6.6,3.6,0.9,0.6,1.8,0.497,0.336,0.767,"2024-12-15 23:30:24",31.2,"Pascal Siakam"
169,193,987,5,21.1,10.6,2.5,1.4,3,2.4,0.518,0.25,0.736,"2024-12-15 23:40:44",34.7,"David Robinson"
170,194,1045,5,30.1,22.9,4.4,-1,-1,-1,0.54,-1,0.511,"2024-12-15 23:40:44",45.8,"Wilt Chamberlain"
171,195,257,1,4,1.8,1.9,0.5,0,0.5,0.421,0.369,0.807,"2024-12-16 00:36:43",15.3,"Ryan Arcidiacono"
172,196,256,4,5.7,3.3,0.3,0.3,0.3,1,0.502,0,0.701,"2024-12-16 00:42:44",12.5,"Alaa Abdelnaby"
173,197,267,4,7.7,5.7,1,0.5,0.6,1,0.481,0.305,0.604,"2024-12-16 00:42:44",19.9,"Precious Achiuwa"
174,198,1076,4,19.1,8.1,1.9,0.7,1.1,1.5,0.493,0.32,0.813,"2024-12-16 00:42:44",33.7,"LaMarcus Aldridge"
175,199,323,2,8.4,2.3,2.2,0.7,0.4,1.2,0.413,0.36,0.73,"2024-12-16 00:42:44",19.9,"Nickeil Alexander-Walker"
